id,first_name,last_name,email,phone,address,notes
254,Kelly,Jones,kelly.jones@yahoo.com,555-381-1132,9492 Aguirre Meadow Apt. 053,Charged to 2239 7552 3149 1356 on last order
255,Kristen,Joseph,kristen.joseph@hotmail.com,555-720-9138,5257 Griffin Trail Suite 781,No special notes
256,Gregory,Obrien,gregory.obrien@yahoo.com,555-894-4770,341 Patricia Vista,Call before delivery
257,William,Johnson,william.johnson@hotmail.com,555-324-4115,308 Stephens Plains Suite 256,Wholesale pricing applied
258,Jeffrey,Barton,jeffrey.barton@hotmail.com,555-743-2591,78816 Shaw Shore Apt. 928,VIP member
259,Donald,Moore,donald.moore@hotmail.com,555-416-8222,750 Kathleen Fort,No special notes
260,Bryan,Wood,bryan.wood@gmail.com,555-192-5835,84498 Nicholas Lane Suite 918,Card number 676338567701 for auto-pay
261,John,Kaufman,john.kaufman@gmail.com,555-279-4289,5779 Warren Dam Suite 231,Returns frequently
262,Xavier,Campbell,xavier.campbell@hotmail.com,555-643-9221,30299 Dennis Passage Apt. 920,Card 4259 1365 1777 3927 used for subscription
263,Gabriel,Nielsen,gabriel.nielsen@hotmail.com,555-363-8894,904 Jay Rest Suite 723,Customer since 2020
264,Maria,Burke,maria.burke@hotmail.com,555-864-6549,842 Nielsen Ranch,Call before delivery
265,Brittany,Hall,brittany.hall@yahoo.com,555-177-3306,03886 Catherine Fall,Gift buyer — holiday season
266,Thomas,Mendez,thomas.mendez@gmail.com,555-980-7511,72980 Boyd Land,Standard account
267,Nancy,Wolfe,nancy.wolfe@yahoo.com,555-474-2479,6599 Ronald Glens,
268,Thomas,Hall,thomas.hall@gmail.com,555-370-9791,864 Adam Summit Apt. 981,Regular customer
269,April,Brooks,april.brooks@yahoo.com,555-698-7242,636 White Points Suite 449,Auto-pay card: 4651269448698
270,Maxwell,Thornton,maxwell.thornton@hotmail.com,555-210-4830,137 Craig Pass,Wholesale pricing applied
271,Richard,Morgan,richard.morgan@hotmail.com,555-435-4626,60127 Davis Greens,
272,Jeffrey,Miller,jeffrey.miller@gmail.com,555-817-5951,9849 Sonya Viaduct Apt. 770,Gift buyer — holiday season
273,James,Sandoval,james.sandoval@hotmail.com,555-243-1742,09883 Emily Lake Apt. 021,Loyal customer
274,Wendy,Chan,wendy.chan@yahoo.com,555-604-2902,9380 Samantha Plaza Suite 895,Call before delivery
275,Michael,Ochoa,michael.ochoa@hotmail.com,555-497-8432,1848 Benson Lane Suite 357,Card number 4769042681813 for auto-pay
276,Erin,Mosley,erin.mosley@gmail.com,555-529-3531,41633 Gutierrez Knoll Apt. 434,
277,Christopher,Nunez,christopher.nunez@yahoo.com,555-953-9017,275 Robinson Ports,Loyal customer
278,Joseph,Valentine,joseph.valentine@hotmail.com,555-133-7070,3334 Jermaine Village,Seasonal buyer
279,John,Montgomery,john.montgomery@yahoo.com,555-975-6942,463 Brian Union,Billing card: 4117-9080-7595-7940
280,Rodney,Ayers,rodney.ayers@yahoo.com,555-657-6876,36915 Salazar Green,Card 676156271873 used for subscription
281,Jacob,Baker,jacob.baker@hotmail.com,555-225-8450,43866 Dustin Streets,Billing card: 4955276365564729296
282,Edward,Shaffer,edward.shaffer@gmail.com,555-151-6464,7175 Ward Points,Payment with card 4728857448906129
283,Angela,Patrick,angela.patrick@hotmail.com,555-170-4394,716 Ford Drive Apt. 569,Billing card: 346159399824553
284,Ashley,Sweeney,ashley.sweeney@gmail.com,555-436-3417,53554 Jacobs Locks,Standard account
285,Joseph,Wallace,joseph.wallace@yahoo.com,555-383-3370,2202 Ebony Summit Apt. 326,Regular customer
286,Dakota,Brown,dakota.brown@yahoo.com,555-356-3858,68114 Christopher Loaf,
287,Kyle,Wright,kyle.wright@hotmail.com,555-115-6869,968 Stout Orchard Apt. 174,Card number 4228200557784872822 for auto-pay
288,Michael,Green,michael.green@yahoo.com,555-702-6304,82547 Gwendolyn Overpass,Standard account
289,Stacey,Woods,stacey.woods@gmail.com,555-229-7897,663 Jennifer Rue Suite 634,Payment with card 639064930857
290,Christian,Garrett,christian.garrett@hotmail.com,555-587-8344,8463 Ian Highway Apt. 797,Preferred customer since 2019
291,Joseph,Dean,joseph.dean@gmail.com,555-707-2786,20802 Julian Crossroad Suite 031,No notes
292,Edward,Snyder,edward.snyder@yahoo.com,555-729-1710,7570 Miller Terrace Apt. 046,Standard account
293,Charles,Harrison,charles.harrison@gmail.com,555-408-8504,0136 Wright Bypass Apt. 718,No notes
294,Elizabeth,Clark,elizabeth.clark@yahoo.com,555-162-8847,2088 Jon Route Suite 350,Regular customer
295,Michelle,Robinson,michelle.robinson@gmail.com,555-802-2768,650 Laura Prairie,Returns frequently
296,David,Mccormick,david.mccormick@gmail.com,555-175-2323,792 Townsend Gateway,Gift buyer — holiday season
297,Eric,Davis,eric.davis@hotmail.com,555-167-3067,005 Jacqueline Turnpike Apt. 273,VIP member
298,Levi,Grant,levi.grant@gmail.com,555-490-9692,557 Dillon Rapid,Card 4730 6524 0778 4872 used for subscription
299,Robin,Spencer,robin.spencer@yahoo.com,555-201-2874,1863 Cannon Drives,Charged to 2627 4485 7086 2094 on last order
300,Chloe,Morris,chloe.morris@hotmail.com,555-838-4522,18102 Morgan Flats Apt. 731,
301,Anthony,May,anthony.may@yahoo.com,555-523-6553,994 Michael Rest Apt. 037,Standard account
302,Sarah,Collier,sarah.collier@yahoo.com,555-525-2557,8650 Rice Street,Free shipping eligible
303,Chad,Torres,chad.torres@gmail.com,555-781-5176,38633 Ashley Fall,Corporate account
304,Angela,Grant,angela.grant@hotmail.com,555-803-8770,957 Andrade Expressway,VIP member
305,Laura,Pierce,laura.pierce@hotmail.com,555-542-2582,593 Nicholas Plaza Suite 577,CC: 180028975585566 on file
306,Susan,Smith,susan.smith@gmail.com,555-931-3131,082 Smith Forges Apt. 504,Wholesale pricing applied
307,Samantha,Dixon,samantha.dixon@hotmail.com,555-675-6400,07522 Richardson Prairie,
308,John,Scott,john.scott@yahoo.com,555-462-7929,693 Jennifer Turnpike,Returns frequently
309,Timothy,Freeman,timothy.freeman@hotmail.com,555-394-6119,409 Miller Centers,No special notes
310,Sandra,Cook,sandra.cook@yahoo.com,555-317-3535,39060 Warren Island Apt. 583,No notes
311,Eric,Nunez,eric.nunez@yahoo.com,555-967-2773,981 Ryan Turnpike Suite 225,Standard account
312,Christopher,Duncan,christopher.duncan@gmail.com,555-476-2882,1686 Kathleen Orchard Apt. 769,
313,James,Gilbert,james.gilbert@hotmail.com,555-926-8030,14659 Daniel Loop,Standard account
314,Rodney,Bailey,rodney.bailey@yahoo.com,555-126-5381,042 Jensen Unions Suite 927,
315,Brady,Meyers,brady.meyers@yahoo.com,555-447-6751,0538 James Pike Suite 879,Auto-pay card: 4211039240519
316,Jessica,Thomas,jessica.thomas@hotmail.com,555-171-3324,64510 Dillon Run,Charged to 3569804204394078 on last order
317,Paul,Whitney,paul.whitney@hotmail.com,555-193-9691,7981 James Mount,Regular customer
318,Ann,Marquez,ann.marquez@yahoo.com,555-449-3578,84046 Sherry Harbors Apt. 256,Refund issued to card 568457620553
319,Diane,Miller,diane.miller@yahoo.com,555-895-2391,3926 Browning Isle,Corporate account
320,Shane,Anderson,shane.anderson@hotmail.com,555-261-1815,832 Barker Pine,VIP member
321,Renee,Jordan,renee.jordan@gmail.com,555-553-7947,1881 Lonnie Drive,Seasonal buyer
322,Jessica,Cannon,jessica.cannon@yahoo.com,555-524-5475,7423 David Burg Suite 999,Gift buyer — holiday season
323,Jerry,Hall,jerry.hall@gmail.com,555-453-8043,60463 Katherine Circles,CC: 4517 2897 5267 7226 on file
324,Gregory,Blevins,gregory.blevins@hotmail.com,555-639-6053,177 Natalie Gardens,Refund issued to card 38573660965692
325,April,Foster,april.foster@yahoo.com,555-107-4349,827 Davis Parkway,Payment with card 3586-8034-7644-7266
326,Daniel,Osborne,daniel.osborne@hotmail.com,555-885-3248,6570 Shawn Station,Requires signature on delivery
327,Paula,Khan,paula.khan@gmail.com,555-435-2965,2111 Walters Corner Suite 892,Call before delivery
328,Nicholas,James,nicholas.james@gmail.com,555-279-3116,407 Foley Plains,Charged to 4922 2206 4474 2125 on last order
329,Lindsey,Franklin,lindsey.franklin@yahoo.com,555-612-6802,97767 Carolyn Avenue,Standard account
330,John,Kelley,john.kelley@gmail.com,555-546-1307,2249 Tammy Summit,Payment with card 3502 2050 2099 4515
331,Beth,Huynh,beth.huynh@gmail.com,555-982-6129,5616 Kelly Dale Apt. 458,Preferred customer since 2019
332,Robert,Clark,robert.clark@gmail.com,555-826-7843,98179 Simmons Vista,Free shipping eligible
333,Leslie,Fox,leslie.fox@gmail.com,555-432-3815,1396 Williams Keys,Payment with card 3529-9787-7293-4306
334,Ann,Walsh,ann.walsh@gmail.com,555-951-6928,441 Evans Plaza,Gift buyer — holiday season
335,Mario,Smith,mario.smith@gmail.com,555-546-7560,576 Mary Hills Suite 880,Billing card: 4569902355770274
336,Jared,Jennings,jared.jennings@yahoo.com,555-991-6083,40568 Ashley Loaf,Free shipping eligible
337,Jacob,Wilson,jacob.wilson@yahoo.com,555-441-3754,046 Tyler Freeway Suite 743,Standard account
338,Alicia,Thompson,alicia.thompson@yahoo.com,555-643-9355,18230 Hughes Way Apt. 040,CC: 343178078235785 on file
339,Gloria,Wheeler,gloria.wheeler@yahoo.com,555-844-3419,571 Hernandez Harbor Apt. 098,Card 2277-0184-0943-5330 used for subscription
340,Willie,Clark,willie.clark@gmail.com,555-302-3842,70160 Ronald Fall,Auto-pay card: 374249321495872
341,Janet,Vance,janet.vance@hotmail.com,555-281-9095,545 Jennifer Skyway Apt. 792,Preferred customer since 2019
342,Christopher,Lang,christopher.lang@hotmail.com,555-797-6295,74773 Douglas Ridges Suite 562,Gift buyer — holiday season
343,Holly,Ortega,holly.ortega@yahoo.com,555-254-8205,0171 Mendoza Vista Apt. 459,Corporate account
344,Autumn,Romero,autumn.romero@gmail.com,555-915-5500,6153 Mueller Mews,Auto-pay card: 6011-5814-8769-6398
345,Ashley,Peterson,ashley.peterson@hotmail.com,555-619-2215,19719 Nguyen Court,Wholesale pricing applied
346,Lynn,Thompson,lynn.thompson@yahoo.com,555-138-1932,196 Snyder Shore,Gift buyer — holiday season
347,Bryan,Robinson,bryan.robinson@gmail.com,555-178-2479,27846 Gonzalez Springs,Call before delivery
348,Natalie,Evans,natalie.evans@hotmail.com,555-493-8581,5190 Abbott Walk Suite 058,No notes
349,Tammy,Smith,tammy.smith@hotmail.com,555-560-4084,40369 Garrett Station Suite 666,No special notes
350,Amy,Bates,amy.bates@yahoo.com,555-613-3471,86562 Bright Skyway,Referred by existing customer
351,David,Smith,david.smith@hotmail.com,555-205-6626,76212 Dalton Turnpike,Gift buyer — holiday season
352,Heather,Conrad,heather.conrad@hotmail.com,555-616-3827,8687 Kelly Ferry,Preferred customer since 2019
353,Roger,Smith,roger.smith@hotmail.com,555-549-9586,97128 Marshall Common Apt. 371,Refund issued to card 30384689500975
354,Gabriella,Ryan,gabriella.ryan@hotmail.com,555-472-7108,058 Taylor Passage Suite 956,Customer since 2020
355,Michael,Levine,michael.levine@yahoo.com,555-518-6543,09494 Crystal Prairie Apt. 904,Free shipping eligible
356,Lisa,Weber,lisa.weber@yahoo.com,555-908-6482,28144 Christina Harbor Suite 019,No special notes
357,Greg,Vargas,greg.vargas@yahoo.com,555-390-5128,72395 Dawn Throughway Apt. 027,Charged to 4524372805129279 on last order
358,Raymond,Turner,raymond.turner@hotmail.com,555-441-2335,6742 Smith Union,VIP member
359,Shane,Gregory,shane.gregory@hotmail.com,555-458-6082,85694 Nelson Unions,VIP member
360,Corey,Pena,corey.pena@yahoo.com,555-232-2388,393 Byrd Falls Suite 800,Free shipping eligible
361,Marie,Smith,marie.smith@gmail.com,555-758-6381,753 King Bypass,Free shipping eligible
362,Andrew,Davis,andrew.davis@hotmail.com,555-195-7937,111 Nicholas Track,No notes
363,Rachel,Knight,rachel.knight@gmail.com,555-471-6060,244 Guerrero Club,Regular customer
364,Danielle,Livingston,danielle.livingston@hotmail.com,555-884-8967,71286 Christina Coves Suite 410,Card 4542140665044271730 used for subscription
365,Charles,Duncan,charles.duncan@hotmail.com,555-179-5846,306 Martinez Plain,Card number 4072006425690877665 for auto-pay
366,Savannah,Howard,savannah.howard@hotmail.com,555-619-9843,0158 Miller Mount Suite 328,Loyal customer
367,Benjamin,Cruz,benjamin.cruz@gmail.com,555-138-6517,615 Miller Roads Suite 320,No notes
368,James,Cortez,james.cortez@hotmail.com,555-711-7172,6184 Ferguson Village,VIP member
369,Lisa,Levy,lisa.levy@hotmail.com,555-838-8170,829 Sandy Camp Apt. 707,Card number 501850506137 for auto-pay
370,Rebecca,Montgomery,rebecca.montgomery@gmail.com,555-554-5668,931 Ronald Valleys Suite 519,Billing card: 4020417929118
371,Amy,Morris,amy.morris@gmail.com,555-339-9749,251 Joshua Throughway,Gift buyer — holiday season
372,Robert,Horton,robert.horton@yahoo.com,555-476-8218,02194 Steele Turnpike,Billing card: 213173902196201
373,Kendra,Schwartz,kendra.schwartz@gmail.com,555-896-7256,487 Allen Extensions,Call before delivery
374,Cheryl,Johnson,cheryl.johnson@gmail.com,555-265-4271,145 Smith Freeway Apt. 181,Returns frequently
375,Christine,Huffman,christine.huffman@hotmail.com,555-993-5096,3403 Laura Spur,VIP member
376,Megan,Pruitt,megan.pruitt@yahoo.com,555-667-2680,08220 Robertson Cliffs,Card 30220054364599 used for subscription
377,Patty,Griffith,patty.griffith@hotmail.com,555-971-3042,3531 Perez Freeway Suite 363,No notes
378,Charles,Richards,charles.richards@gmail.com,555-560-9410,354 Matthew Bypass Apt. 421,Auto-pay card: 630423972656
379,Melissa,Ellis,melissa.ellis@hotmail.com,555-327-8391,4063 Mark Prairie Apt. 929,CC: 4349-2929-8316-8738 on file
380,Rachel,Butler,rachel.butler@gmail.com,555-524-1872,8068 Mendoza Union,Regular customer
381,Heather,Garcia,heather.garcia@yahoo.com,555-341-7326,80632 Phillips Rue,Wholesale pricing applied
382,Yolanda,Smith,yolanda.smith@hotmail.com,555-329-1461,79907 Ingram Well Suite 257,Wholesale pricing applied
383,Jane,Smith,jane.smith@hotmail.com,555-959-6493,5804 Mullins Square,Loyal customer
384,Sophia,Daniels,sophia.daniels@gmail.com,555-139-5700,508 Barron Creek,VIP member
385,Patrick,Marshall,patrick.marshall@gmail.com,555-812-3273,2818 Devon Isle Apt. 817,Referred by existing customer
386,Jo,Goodwin,jo.goodwin@hotmail.com,555-559-1086,355 Gordon Manors,Referred by existing customer
387,Joshua,Brown,joshua.brown@yahoo.com,555-362-4533,8817 Hayes Land Apt. 371,Regular customer
388,Christopher,Hurst,christopher.hurst@yahoo.com,555-844-9647,24127 Nancy Pike,
389,Stephanie,Johnson,stephanie.johnson@yahoo.com,555-343-5934,5670 Lopez Brooks,Call before delivery
390,Monica,Hall,monica.hall@yahoo.com,555-754-8489,2437 Arellano Trail,Charged to 180069557988778 on last order
391,Megan,Hernandez,megan.hernandez@yahoo.com,555-747-9443,80552 West Estates,Payment with card 4292842222310592747
392,Amanda,Martinez,amanda.martinez@gmail.com,555-398-8032,2752 Tara Plains Suite 474,VIP member
393,Tara,Webster,tara.webster@gmail.com,555-684-7825,1509 Brandy Forges Suite 301,Billing card: 3597-5170-2814-0693
394,Amanda,Griffin,amanda.griffin@yahoo.com,555-636-6908,45547 Jason Mills Suite 742,CC: 4863 7599 8056 2655 on file
395,Linda,Waller,linda.waller@gmail.com,555-499-8702,4628 Page Throughway,Payment with card 6529 9123 4785 1961
396,Robin,Gonzalez,robin.gonzalez@yahoo.com,555-359-1266,714 White Spurs Apt. 014,Card 6587-0494-7873-0026 used for subscription
397,Trevor,Arellano,trevor.arellano@hotmail.com,555-453-4950,796 Burton Mountains Apt. 589,Preferred customer since 2019
398,Andres,Green,andres.green@hotmail.com,555-890-6447,57252 Joseph Manor,Loyal customer
399,Daisy,Friedman,daisy.friedman@hotmail.com,555-933-3868,4451 Morrow Bridge Apt. 845,Card 574818321923 used for subscription
400,Kimberly,Jenkins,kimberly.jenkins@gmail.com,555-812-8840,28338 Robert Club,Gift buyer — holiday season
401,Darryl,Anderson,darryl.anderson@gmail.com,555-164-8498,4527 Jackson Hollow Apt. 132,VIP member
402,Melissa,Thomas,melissa.thomas@gmail.com,555-910-4268,89071 Williams Hollow,Payment with card 4232161107607
403,Elizabeth,Webster,elizabeth.webster@gmail.com,555-417-9444,325 Christopher Vista,Corporate account
404,Julie,Ramirez,julie.ramirez@hotmail.com,555-584-5150,2893 Cory Prairie Apt. 833,
405,Tamara,Jackson,tamara.jackson@yahoo.com,555-392-6848,3836 Kathleen Island Apt. 718,Billing card: 213113875927125
406,Derek,Farmer,derek.farmer@hotmail.com,555-986-6438,015 Wilson Haven Suite 947,No special notes
407,Jeremiah,Russell,jeremiah.russell@gmail.com,555-509-8204,6912 Michael Flat,Charged to 6011-1752-0716-7812 on last order
408,Matthew,Larson,matthew.larson@yahoo.com,555-447-4060,67499 Avila Unions,Free shipping eligible
409,Dawn,Ross,dawn.ross@yahoo.com,555-476-9507,8427 David Overpass Suite 320,Referred by existing customer
410,Cory,Brown,cory.brown@yahoo.com,555-180-8055,7784 Pacheco Plains,Charged to 2502695249911872 on last order
411,Amy,Cisneros,amy.cisneros@gmail.com,555-658-5813,67567 Johnson Fall Suite 276,Customer since 2020
412,Dennis,Baldwin,dennis.baldwin@yahoo.com,555-435-5843,788 Alvarez Walk,Preferred customer since 2019
413,Eric,Brown,eric.brown@yahoo.com,555-270-8272,695 Flores Burgs Apt. 255,Returns frequently
414,Lisa,Silva,lisa.silva@hotmail.com,555-844-6776,1655 Bell Shore Apt. 334,No special notes
415,Brittany,Lozano,brittany.lozano@gmail.com,555-381-1939,52085 Steven Way Suite 986,Returns frequently
416,Joseph,Dominguez,joseph.dominguez@hotmail.com,555-472-9406,94563 Reid Turnpike Apt. 834,Charged to 3556 9659 1713 5788 on last order
417,Joseph,Evans,joseph.evans@hotmail.com,555-131-3339,91919 Nelson Port Suite 635,Customer since 2020
418,Laura,Pearson,laura.pearson@yahoo.com,555-135-3068,8536 King Passage Suite 820,Gift buyer — holiday season
419,Courtney,Black,courtney.black@gmail.com,555-470-7272,6513 Adams Heights Apt. 493,Card 4374 8969 0835 7230 used for subscription
420,Richard,Wilson,richard.wilson@gmail.com,555-719-3513,47786 Lucas Camp,No special notes
421,James,Nelson,james.nelson@gmail.com,555-480-8273,8207 Brian Corner Suite 941,Wholesale pricing applied
422,Rachel,Russell,rachel.russell@yahoo.com,555-642-7012,2319 Alejandra Village,VIP member
423,Betty,Hampton,betty.hampton@hotmail.com,555-355-2858,1391 Murphy Prairie Suite 363,Seasonal buyer
424,Drew,Thompson,drew.thompson@hotmail.com,555-630-7340,0900 Johnny Lights Suite 518,Refund issued to card 4649078515867342572
425,Michelle,Mathews,michelle.mathews@yahoo.com,555-368-5264,4413 Clark Estates,Loyal customer
426,Ruth,Welch,ruth.welch@hotmail.com,555-726-5678,41776 Love Wells Apt. 248,Requires signature on delivery
427,Carl,Fisher,carl.fisher@hotmail.com,555-304-3009,0027 Aaron Flats Suite 591,Referred by existing customer
428,Daniel,Wright,daniel.wright@yahoo.com,555-276-8292,66930 Sandra Rue Apt. 173,Refund issued to card 3596577242954312
429,Jose,Christian,jose.christian@gmail.com,555-783-6692,694 Christopher Land Apt. 910,Corporate account
430,Jennifer,Graham,jennifer.graham@yahoo.com,555-655-5757,33344 Reyes Meadows Apt. 934,
431,Jessica,Lopez,jessica.lopez@gmail.com,555-828-3852,04439 Solomon Land Suite 107,Customer since 2020
432,Dean,Morris,dean.morris@hotmail.com,555-329-2988,366 Jones Point Apt. 053,No notes
433,Thomas,Gomez,thomas.gomez@hotmail.com,555-342-9094,48964 Lambert Curve,VIP member
434,Tammy,Hansen,tammy.hansen@gmail.com,555-578-3126,27456 Orr Greens Suite 856,Card 3542 8757 2158 6240 used for subscription
435,Patricia,Stewart,patricia.stewart@yahoo.com,555-167-6067,703 Brian Falls,Preferred customer since 2019
436,Barry,Green,barry.green@hotmail.com,555-638-7730,1707 Zhang Points Suite 771,Referred by existing customer
437,Meghan,Camacho,meghan.camacho@gmail.com,555-228-6194,34228 Elliott Shore Apt. 908,Preferred customer since 2019
438,Katie,White,katie.white@gmail.com,555-577-9476,1504 Phillip Ramp,Gift buyer — holiday season
439,Sarah,Rodriguez,sarah.rodriguez@yahoo.com,555-755-3981,17774 Mark Cape,
440,Diana,Tapia,diana.tapia@yahoo.com,555-543-9238,04501 Davis Glens,VIP member
441,Gregory,Hanna,gregory.hanna@yahoo.com,555-951-3034,32664 David Overpass,No special notes
442,Laurie,Fitzgerald,laurie.fitzgerald@yahoo.com,555-268-3653,1583 Griffin Loaf,Call before delivery
443,Thomas,Hart,thomas.hart@yahoo.com,555-454-9501,5926 Davis Passage,Standard account
444,Matthew,Ford,matthew.ford@gmail.com,555-356-4216,8814 Kim Unions,Preferred customer since 2019
445,Tim,Hernandez,tim.hernandez@gmail.com,555-381-3050,86490 Samantha Passage Apt. 866,
446,Cody,Guerrero,cody.guerrero@hotmail.com,555-195-9234,4918 Daniel Shore Suite 226,
447,Brandon,Butler,brandon.butler@hotmail.com,555-275-6531,9779 Peterson Well Apt. 321,VIP member
448,Julie,Munoz,julie.munoz@hotmail.com,555-945-1464,8006 Alexander Shoal,No special notes
449,Thomas,Holt,thomas.holt@gmail.com,555-766-4453,2368 Christopher Trail,Auto-pay card: 4499 5641 2203 1037
450,Steven,Wells,steven.wells@gmail.com,555-732-1496,27770 Richards Flats,Returns frequently
451,Kenneth,Gallegos,kenneth.gallegos@yahoo.com,555-396-5949,0166 Mclaughlin Ranch,
452,Jessica,Duarte,jessica.duarte@gmail.com,555-404-8430,7899 Hall Circle Apt. 695,Free shipping eligible
453,Angela,Adams,angela.adams@gmail.com,555-550-7809,597 Nicole Stream,Card number 4717957602437573 for auto-pay
454,Jennifer,Moyer,jennifer.moyer@hotmail.com,555-448-3353,2934 Elizabeth Curve Apt. 329,Requires signature on delivery
455,Travis,Leon,travis.leon@yahoo.com,555-851-6658,38005 Kelly Estate Apt. 801,Corporate account
456,Matthew,Wilson,matthew.wilson@gmail.com,555-878-7070,374 Glover Trafficway,VIP member
457,Brandon,Rich,brandon.rich@yahoo.com,555-426-4960,891 Sara Mill,Loyal customer
458,Lauren,Estes,lauren.estes@gmail.com,555-560-5061,918 William Expressway,Seasonal buyer
459,Crystal,Pitts,crystal.pitts@yahoo.com,555-493-7850,75482 Joseph Stravenue,Auto-pay card: 344787125521374
460,Kari,Ward,kari.ward@gmail.com,555-691-6123,55626 Phillip Camp,Card 4286326667850727 used for subscription
461,Donna,May,donna.may@hotmail.com,555-627-8648,3899 Terry Valleys Suite 341,Refund issued to card 3584668455048928
462,Benjamin,Cook,benjamin.cook@hotmail.com,555-609-1379,843 William Inlet,Call before delivery
463,Adrienne,Sherman,adrienne.sherman@gmail.com,555-346-4524,174 Shawn Freeway,Refund issued to card 4089-4346-8105-4851
464,Linda,Zhang,linda.zhang@hotmail.com,555-151-5609,4492 Stone Gateway,No special notes
465,Daniel,Black,daniel.black@gmail.com,555-392-9793,1266 Christopher Manors Apt. 737,Referred by existing customer
466,Christian,Rhodes,christian.rhodes@gmail.com,555-237-5333,377 Julie Points,Charged to 6549767762282779 on last order
467,Mike,Crane,mike.crane@hotmail.com,555-474-1741,15940 David Inlet Suite 447,Free shipping eligible
468,Anthony,Thomas,anthony.thomas@hotmail.com,555-299-6939,44327 David Keys Apt. 067,
469,Ashley,Knight,ashley.knight@yahoo.com,555-495-9261,9228 Gill Shores Suite 251,Preferred customer since 2019
470,Lauren,Beck,lauren.beck@yahoo.com,555-386-2946,65807 Brewer Way Apt. 094,
471,Ann,Martinez,ann.martinez@gmail.com,555-482-6555,820 Buchanan Gardens,Charged to 213139890983785 on last order
472,Maria,Combs,maria.combs@hotmail.com,555-873-3363,89569 Travis Brooks Suite 626,Wholesale pricing applied
473,Andrew,Rice,andrew.rice@hotmail.com,555-612-1659,95200 Price Island,Charged to 6511 1824 2241 2465 on last order
474,Douglas,Orozco,douglas.orozco@yahoo.com,555-923-8761,0630 Spencer Radial,Card 4103399378861405782 used for subscription
475,Emily,Sanchez,emily.sanchez@hotmail.com,555-720-9446,9671 Krista Divide,VIP member
476,Nathaniel,Galloway,nathaniel.galloway@yahoo.com,555-266-7438,653 Williams Streets Apt. 416,Card 4870079420073 used for subscription
477,Holly,Rivas,holly.rivas@hotmail.com,555-707-6511,3985 Reid Terrace Suite 435,Call before delivery
478,Matthew,Stevens,matthew.stevens@hotmail.com,555-645-9025,20970 Emily Loop Suite 681,No notes
479,Kristin,Banks,kristin.banks@gmail.com,555-586-1272,715 Carey Knolls,Call before delivery
480,Paul,Combs,paul.combs@hotmail.com,555-526-6040,75370 Julia Trace,Loyal customer
481,Juan,Morse,juan.morse@yahoo.com,555-711-8775,94337 Johnson Park,Regular customer
482,Rebecca,Mann,rebecca.mann@hotmail.com,555-838-1841,92124 Nicole Stream,Billing card: 4361498728395
483,Kimberly,Lee,kimberly.lee@hotmail.com,555-636-7229,894 Smith Meadow,Customer since 2020
484,Danielle,Hahn,danielle.hahn@gmail.com,555-132-2800,46875 Philip Isle,Billing card: 586641877582
485,Christopher,Armstrong,christopher.armstrong@yahoo.com,555-528-3481,107 Morton Ramp,Card 060436133254 used for subscription
486,Laura,Mcconnell,laura.mcconnell@yahoo.com,555-520-9221,73505 Sherry Trail,Requires signature on delivery
487,Carol,Gonzales,carol.gonzales@gmail.com,555-993-2020,110 Nicholas Vista Apt. 207,Referred by existing customer
488,Brian,Bishop,brian.bishop@yahoo.com,555-312-6325,08046 Davis Terrace,No notes
489,Robert,Hancock,robert.hancock@hotmail.com,555-638-7173,6769 Matthew Spring,Referred by existing customer
490,Krista,Gibson,krista.gibson@yahoo.com,555-570-9734,10919 Rebecca Crossroad,Customer since 2020
491,Dana,Scott,dana.scott@yahoo.com,555-792-5331,972 Devin Cape Apt. 249,Wholesale pricing applied
492,Ryan,Moyer,ryan.moyer@yahoo.com,555-352-5571,822 Parker Junctions Suite 508,Requires signature on delivery
493,Brenda,Gregory,brenda.gregory@gmail.com,555-404-5735,806 Gonzalez Flats,Standard account
494,Danielle,Harris,danielle.harris@gmail.com,555-424-8861,77959 Jensen Manor Suite 217,Referred by existing customer
495,Nancy,Lozano,nancy.lozano@yahoo.com,555-394-2996,33793 Timothy Trafficway,Seasonal buyer
496,Stephanie,Rivera,stephanie.rivera@hotmail.com,555-488-7464,62050 Michael Point Apt. 247,
497,James,Willis,james.willis@yahoo.com,555-397-1689,33423 Higgins Junction,VIP member
498,Melanie,Sanchez,melanie.sanchez@gmail.com,555-454-8247,2896 David Curve Apt. 386,CC: 4241026153474 on file
499,Heather,Stewart,heather.stewart@yahoo.com,555-319-4310,99384 Mark Center,Referred by existing customer
500,Crystal,Ramirez,crystal.ramirez@gmail.com,555-675-5450,17912 Potter Rue Suite 787,Seasonal buyer
